21:24:00.086 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Sprite sheet loaded successfully
21:24:00.088 [AWT-EventQueue-0] INFO  se233.asteroid888.model.Ship - PlayerShip initialized at position (400.0, 300.0)
21:24:00.088 [AWT-EventQueue-0] INFO  se233.asteroid888.model.Ship - Invincibility activated - Duration: 120 ticks
21:24:03.485 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 280.87, Y: 205.02, Angle: 0.00
21:24:03.501 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 275.88, Y: 204.75, Angle: 0.00
21:24:03.578 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 265.99, Y: 204.25, Angle: 0.00
21:24:03.609 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 261.20, Y: 204.52, Angle: 0.00
21:24:03.640 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 256.50, Y: 205.27, Angle: 0.00
21:24:03.670 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 251.89, Y: 206.51, Angle: 0.00
21:24:03.701 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 247.38, Y: 208.23, Angle: 0.00
21:24:03.733 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 242.95, Y: 210.41, Angle: 0.00
21:24:03.763 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 238.68, Y: 213.01, Angle: 0.00
21:24:03.794 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 234.64, Y: 215.95, Angle: 0.00
21:24:03.826 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 230.84, Y: 219.20, Angle: 0.00
21:24:03.856 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 227.28, Y: 222.71, Angle: 0.00
21:24:03.888 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 223.97, Y: 226.46, Angle: 0.00
21:24:03.919 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 220.90, Y: 230.41, Angle: 0.00
21:24:03.950 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 218.07, Y: 234.52, Angle: 0.00
21:24:03.981 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 215.45, Y: 238.79, Angle: 0.00
21:24:03.997 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 213.05, Y: 243.17, Angle: 0.00
21:24:04.028 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 210.85, Y: 247.66, Angle: 0.00
21:24:04.060 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 208.84, Y: 252.24, Angle: 0.00
21:24:04.092 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 207.00, Y: 256.89, Angle: 0.00
21:24:04.122 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 205.32, Y: 261.60, Angle: 0.00
21:24:04.153 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 203.78, Y: 266.36, Angle: 0.00
21:24:04.185 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 202.39, Y: 271.16, Angle: 0.00
21:24:04.215 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 201.12, Y: 275.99, Angle: 0.00
21:24:04.262 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 199.96, Y: 280.86, Angle: 0.00
21:24:04.262 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 199.96, Y: 280.86, Angle: 0.00
21:24:04.293 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 199.41, Y: 285.75, Angle: 0.00
21:24:04.293 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 199.41, Y: 285.75, Angle: 0.00
21:24:04.324 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 199.40, Y: 290.72, Angle: 0.00
21:24:04.324 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 199.40, Y: 290.72, Angle: 0.00
21:24:04.340 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 199.89, Y: 295.70, Angle: 0.00
21:24:04.340 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 199.89, Y: 295.70, Angle: 0.00
21:24:04.372 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 200.82, Y: 300.61, Angle: 0.00
21:24:04.372 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 200.82, Y: 300.61, Angle: 0.00
21:24:04.403 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 202.14, Y: 305.43, Angle: 0.00
21:24:04.403 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 202.14, Y: 305.43, Angle: 0.00
21:24:04.434 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 203.79, Y: 310.15, Angle: 0.00
21:24:04.434 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 203.79, Y: 310.15, Angle: 0.00
21:24:04.466 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 205.73, Y: 314.76, Angle: 0.00
21:24:04.466 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 205.73, Y: 314.76, Angle: 0.00
21:24:04.496 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 207.92, Y: 319.26, Angle: 0.00
21:24:04.496 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 207.92, Y: 319.26, Angle: 0.00
21:24:04.543 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 210.31, Y: 323.65, Angle: 0.00
21:24:04.543 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 210.31, Y: 323.65, Angle: 0.00
21:26:27.263 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Sprite sheet loaded successfully
21:26:27.269 [AWT-EventQueue-0] INFO  se233.asteroid888.model.Ship - PlayerShip initialized at position (400.0, 300.0)
21:26:27.269 [AWT-EventQueue-0] INFO  se233.asteroid888.model.Ship - Invincibility activated - Duration: 120 ticks
21:26:27.566 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:26:27.732 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:26:27.763 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 300.00, Angle: 0.00
21:26:27.791 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 300.50, Angle: 0.00
21:26:27.822 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 301.49, Angle: 0.00
21:26:27.888 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:26:27.915 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.00, Y: 305.81, Angle: 0.00
21:26:27.946 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 400.50, Y: 307.20, Angle: 0.00
21:26:27.977 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 401.49, Y: 308.55, Angle: 0.00
21:26:28.008 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 402.96, Y: 309.88, Angle: 0.00
